"I","E","parameter","mean","sd","cv","0.025","0.25","0.50","0.75","0.975","CQV","bias"
"all",5,"Total Catch",980.82125,109.512675316382,0.111654060631722,778.975,904,974,1052,1211.025,0.0756646216768916,0
"all",3,"Total Catch",992.136375,123.830639505211,0.124812115174399,770,905,983,1071,1261.025,0.0840080971659919,0.00924024640657084
"all",1,"Total Catch",931.05725,147.886268855503,0.158836923138188,643,836,937,1010,1267.025,0.0942578548212351,-0.0379876796714579
"even",5,"Total Catch",1064.0645,557.966554485339,0.524372868830168,644,872,1001,1158,1770,0.140886699507389,0.0277207392197125
"even",3,"Total Catch",976.939,562.849338145814,0.576135601246152,594,791,920,1073,1582,0.151287553648069,-0.055441478439425
"even",1,"Total Catch",892.930375,461.32149903082,0.516637704290013,505,699,831,990,1513,0.172291296625222,-0.146817248459959
"all",5,"Total Effort",35504.8021651202,2523.69105559588,0.0710802737009796,30679.2294760417,33751.4361410097,35444.1318861222,37162.7800882457,40683.9978794017,0.0481052196390027,0
"all",3,"Total Effort",34909.0347271185,3194.32799669401,0.0915043346704901,29078.2618211504,32683.1240439698,34775.9377440778,36971.7398126852,41480.9383528121,0.0615695090229603,-0.0188520385882555
"all",1,"Total Effort",31687.0896413236,4388.72281866428,0.138501922023816,23334.7283316771,29145.8690050811,31732.6198416062,33414.6219905126,42013.3259622663,0.0682340070785608,-0.104714429357183
"even",5,"Total Effort",40216.8289432181,6168.4163155953,0.153378982820959,30025.6608110072,36076.3429364335,39593.1072397534,43640.4920413104,53582.5772563334,0.0948877248700202,0.117056763217149
"even",3,"Total Effort",35895.4233074372,6294.575600043,0.175358723203546,25867.1760077603,31440.3035303018,35236.7145932826,39535.5729895507,50034.0441738001,0.114056632424745,-0.00585195014808015
"even",1,"Total Effort",32020.4889328731,6682.29056518124,0.208687961610762,20898.0288625098,27401.7947229469,31301.0316240632,35827.3089549048,47298.1879346195,0.13325373509777,-0.116891006820827
