"Parameter","section","gear","mean","sd","2.5%","25%","50%","75%","97.5%"
"Season Total Catch","Total","Total",980.82125,109.512675316382,778.975,904,974,1052,1211.025
"Season Total Effort","Total","Total",35504.8021651202,2523.69105559588,30679.2294760417,33751.4361410097,35444.1318861222,37162.7800882457,40683.9978794017
"Seasonal Mean CPUE","Total","Total",0.0276235534891682,0.00235701331897935,0.0233078504679192,0.0260054274518052,0.0274891859834345,0.029136604091535,0.0324842656722006
"season total catch","Skagit River","Bank Anglers",17.21125,7.46163805394714,6,12,16,21,35
"season total catch","Sauk River","Bank Anglers",42.417,13.1470651603536,21,33,41,51,72
"season total catch","Skagit River","Boat Anglers",403.54575,65.0941373598049,289,358,399,443,544
"season total catch","Sauk River","Boat Anglers",517.64725,74.4093475659396,387,465,512,566,671
"season total effort","Skagit River","Bank Anglers",1852.31912221553,372.713647076868,1202.99856821422,1595.15374074089,1822.60807489814,2081.91582109759,2666.21873192763
"season total effort","Sauk River","Bank Anglers",6982.08831713084,989.481118447514,5187.58726865163,6290.93828389169,6918.4043232653,7638.89655561947,9058.13049937514
"season total effort","Skagit River","Boat Anglers",12829.1511281683,1171.96411518142,10655.7163970376,12021.6377660848,12778.3627158044,13584.0030385426,15218.4869431774
"season total effort","Sauk River","Boat Anglers",13841.2435976056,1326.42654713991,11379.2784726851,12919.8679842193,13807.3238535401,14692.4734397876,16613.4860617701
"seasonal median CPUE","Skagit River","Bank Anglers",0.0081355315391866,0.00319216376086135,0.00343872734178161,0.00606040773522333,0.00761884989135248,0.00956332522493625,0.0159205927890003
"seasonal median CPUE","Skagit River","Boat Anglers",0.0287896186919591,0.00803895799926558,0.0138535866744824,0.0241734802678202,0.0287428584389444,0.032851492025585,0.0467457345748491
"seasonal median CPUE","Sauk River","Bank Anglers",0.00645067114859103,0.00292193928604696,0.0027848451378431,0.00491078810678293,0.00604276069537059,0.00736424324208659,0.0127132449323157
"seasonal median CPUE","Sauk River","Boat Anglers",0.0345285262320747,0.0107192880244444,0.0166377296929871,0.0295462837429539,0.0338610934414213,0.0382404524268592,0.0574657792645297
